[05-Sep-2017 18:39:19 UTC] PHP  29. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  30. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  31. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  32. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  33. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  34. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  35. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  36. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  37. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  38. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  39. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  40. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  41. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  42. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  43. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  44. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  45. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  46. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  47. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  48. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
[05-Sep-2017 18:39:19 UTC] PHP  49. printout() /home/ubuntu/workspace/Maolsen/Maolsen/labs/lab2/index.php:45
